Klac|Scas|Zrou	177	685	208
Klac|Sbay|Zrou	15	1005	50
Klac|Skud|Zrou	15	1004	51
Klac|Spar|Zrou	15	1006	49
Klac|Scer|Zrou	13	1009	48
Klac|Smik|Zrou	17	1004	49
Clus|Klac|Zrou	791	118	161
Cgui|Klac|Zrou	791	118	161
Dhan|Klac|Zrou	791	118	161
Klac|Psti|Zrou	791	161	118
Cpar|Klac|Zrou	791	118	161
Klac|Lelo|Zrou	791	161	118
Ctro|Klac|Zrou	791	118	161
Calb|Klac|Zrou	791	118	161
Cdub|Klac|Zrou	791	118	161
Cgla|Klac|Kpol	261	293	516
Klac|Kpol|Scas	623	189	258
Klac|Kpol|Sbay	1004	13	53
Klac|Kpol|Skud	1003	13	54
Klac|Kpol|Spar	1004	13	53
Klac|Kpol|Scer	1006	11	53
Klac|Kpol|Smik	1003	14	53
Clus|Klac|Kpol	810	112	148
Cgui|Klac|Kpol	810	112	148
Dhan|Klac|Kpol	810	112	148
Klac|Kpol|Psti	151	807	112
Cpar|Klac|Kpol	810	112	148
Klac|Kpol|Lelo	151	807	112
Ctro|Klac|Kpol	810	112	148
Calb|Klac|Kpol	810	112	148
Cdub|Klac|Kpol	810	112	148
Cgla|Klac|Scas	450	320	300
Cgla|Klac|Sbay	999	61	10
Cgla|Klac|Skud	998	62	10
Cgla|Klac|Spar	999	61	10
Cgla|Klac|Scer	1003	61	6
Cgla|Klac|Smik	998	61	11
Cgla|Clus|Klac	114	129	827
Cgla|Cgui|Klac	114	129	827
Cgla|Dhan|Klac	114	129	827
Cgla|Klac|Psti	131	112	827
Cgla|Cpar|Klac	114	129	827
Cgla|Klac|Lelo	131	112	827
Cgla|Ctro|Klac	114	129	827
Calb|Cgla|Klac	114	827	129
Cdub|Cgla|Klac	114	827	129
Klac|Sbay|Scas	13	991	66
Klac|Scas|Skud	993	11	66
Klac|Scas|Spar	995	10	65
Klac|Scas|Scer	1000	8	62
Klac|Scas|Smik	994	11	65
Clus|Klac|Scas	881	77	112
Cgui|Klac|Scas	881	77	112
Dhan|Klac|Scas	881	77	112
Klac|Psti|Scas	881	112	77
Cpar|Klac|Scas	881	77	112
Klac|Lelo|Scas	881	112	77
Ctro|Klac|Scas	881	77	112
Calb|Klac|Scas	881	77	112
Cdub|Klac|Scas	881	77	112
Klac|Sbay|Skud	546	123	401
Klac|Sbay|Spar	865	46	159
Klac|Sbay|Scer	988	5	77
Klac|Sbay|Smik	708	123	239
Clus|Klac|Sbay	1014	14	42
Cgui|Klac|Sbay	1014	14	42
Dhan|Klac|Sbay	1014	14	42
Klac|Psti|Sbay	1014	42	14
Cpar|Klac|Sbay	1014	14	42
Klac|Lelo|Sbay	1014	42	14
Ctro|Klac|Sbay	1014	14	42
Calb|Klac|Sbay	1014	14	42
Cdub|Klac|Sbay	1014	14	42
Klac|Skud|Spar	835	59	176
Klac|Scer|Skud	140	847	83
Klac|Skud|Smik	631	163	276
Clus|Klac|Skud	1014	14	42
Cgui|Klac|Skud	1014	14	42
Dhan|Klac|Skud	1014	14	42
Klac|Psti|Skud	1014	42	14
Cpar|Klac|Skud	1014	14	42
Klac|Lelo|Skud	1014	42	14
Ctro|Klac|Skud	1014	14	42
Calb|Klac|Skud	1014	14	42
Cdub|Klac|Skud	1014	14	42
